Date,countrie,TotalDeaths,SeriousCases,TotalCases
2021-06-29T03:34:08.015Z,Cyprus,75099,374,17
2021-06-29T03:34:18.775Z,Maldives,73482,209,90
2021-06-29T03:34:17.719Z,Luxembourg,70642,818,1
2021-06-29T03:34:04.846Z,Botswana,69680,1125,1
2021-06-29T03:34:26.619Z,Singapore,62553,36,3
2021-06-29T03:34:15.515Z,Jamaica,50054,1061,8
2021-06-29T03:34:05.844Z,Cambodia,48532,556,0
2021-06-29T03:34:08.296Z,Ivory Coast,48203,313,0
2021-06-29T03:34:33.555Z,Zimbabwe,47284,1749,10
2021-06-29T03:34:26.049Z,Senegal,42929,1164,11
2021-06-29T03:34:18.328Z,Madagascar,42194,909,40
2021-06-29T03:34:08.444Z,DRC,40439,916,0
2021-06-29T03:34:01.425Z,Angola,38613,891,14
2021-06-29T03:34:24.491Z,Rwanda,37384,427,35
2021-06-29T03:34:28.174Z,Sudan,36620,2754,0
2021-06-29T03:34:18.464Z,Malawi,35709,1187,46
2021-06-29T03:34:05.702Z,Cabo Verde,32399,286,23
2021-06-29T03:34:30.903Z,Trinidad and Tobago,32343,822,22
2021-06-29T03:34:19.074Z,Malta,30612,420,0
2021-06-29T03:34:02.432Z,Australia,30554,910,1
2021-06-29T03:34:24.641Z,Réunion,29502,226,32
2021-06-29T03:34:10.949Z,French Guiana,27318,143,36
2021-06-29T03:34:29.862Z,Syria,25442,1870,0
2021-06-29T03:34:11.458Z,Gabon,24984,159,12
2021-06-29T03:34:13.119Z,Guinea,23744,168,24
2021-06-29T03:34:28.317Z,Suriname,21360,512,29
2021-06-29T03:34:19.444Z,Mauritania,20676,487,16
2021-06-29T03:34:13.412Z,Guyana,19891,466,15
2021-06-29T03:34:19.734Z,Mayotte,19405,174,6
2021-06-29T03:34:28.697Z,Eswatini,19084,678,10
2021-06-29T03:34:11.279Z,French Polynesia,19003,142,0
2021-06-29T03:34:13.548Z,Haiti,18460,420,0
2021-06-29T03:34:23.195Z,Papua New Guinea,17098,173,7
2021-06-29T03:34:12.816Z,Guadeloupe,16881,230,23
2021-06-29T03:34:32.927Z,Vietnam,16136,76,0
2021-06-29T03:34:26.341Z,Seychelles,15579,68,0
2021-06-29T03:34:27.311Z,Somalia,14933,775,0
2021-06-29T03:34:30.011Z,Taiwan,14694,635,0
2021-06-29T03:34:18.925Z,Mali,14419,525,0
2021-06-29T03:34:01.268Z,Andorra,13882,127,3
2021-06-29T03:34:30.727Z,Togo,13846,128,0
2021-06-29T03:34:05.424Z,Burkina Faso,13479,168,0
2021-06-29T03:34:30.135Z,Tajikistan,13460,90,0
2021-06-29T03:34:03.713Z,Belize,13189,329,1
2021-06-29T03:34:07.303Z,Congo,12485,165,0
2021-06-29T03:34:02.859Z,Bahamas,12467,245,3
2021-06-29T03:34:07.875Z,Curaçao,12332,126,4
2021-06-29T03:34:19.284Z,Martinique,12264,98,1
2021-06-29T03:34:13.844Z,Hong Kong,11921,211,1
2021-06-29T03:34:08.873Z,Djibouti,11601,155,0
2021-06-29T03:34:16.978Z,Lesotho,11239,329,0
2021-06-29T03:34:02.293Z,Aruba,11132,107,14
2021-06-29T03:34:27.593Z,South Sudan,10824,116,0
2021-06-29T03:34:30.577Z,Timor-Leste,9055,21,0
2021-06-29T03:34:09.744Z,Equatorial Guinea,8723,121,1
2021-06-29T03:34:03.850Z,Benin,8170,104,5
2021-06-29T03:34:22.065Z,Nicaragua,7920,189,0
2021-06-29T03:34:06.433Z,CAR,7141,98,2
2021-06-29T03:34:33.268Z,Yemen,6909,1361,23
2021-06-29T03:34:14.141Z,Iceland,6646,30,1
2021-06-29T03:34:11.611Z,Gambia,6069,181,3
2021-06-29T03:34:09.897Z,Eritrea,5884,22,0
2021-06-29T03:34:22.204Z,Niger,5480,193,2
2021-06-29T03:34:26.473Z,Sierra Leone,5443,97,0
2021-06-29T03:34:05.558Z,Burundi,5423,8,0
2021-06-29T03:34:25.089Z,Saint Lucia,5284,84,0
2021-06-29T03:34:25.597Z,San Marino,5091,90,0
2021-06-29T03:34:06.572Z,Chad,4951,174,0
2021-06-29T03:34:12.236Z,Gibraltar,4346,94,0
2021-06-29T03:34:03.288Z,Barbados,4077,47,0
2021-06-29T03:34:07.162Z,Comoros,3912,146,0
2021-06-29T03:34:13.259Z,Guinea-Bissau,3846,69,4
2021-06-29T03:34:10.503Z,Fiji,3832,17,21
2021-06-29T03:34:17.122Z,Liberia,3794,123,2
2021-06-29T03:34:17.414Z,Liechtenstein,3034,59,3
2021-06-29T03:34:21.923Z,New Zealand,2741,26,0
2021-06-29T03:34:26.764Z,Sint Maarten,2613,33,2
2021-06-29T03:34:20.298Z,Monaco,2575,33,1
2021-06-29T03:34:03.989Z,Bermuda,2510,33,7
2021-06-29T03:34:31.363Z,Turks and Caicos,2424,18,2
2021-06-29T03:34:25.747Z,Sao Tome and Principe,2365,37,0
2021-06-29T03:34:25.235Z,Saint Martin,2276,12,7
2021-06-29T03:34:25.430Z,St. Vincent Grenadines,2219,12,2
2021-06-29T03:34:16.548Z,Laos,2110,3,0
2021-06-29T03:34:04.139Z,Bhutan,2062,1,0
2021-06-29T03:34:19.590Z,Mauritius,1833,18,0
2021-06-29T03:34:15.062Z,Isle of Man,1608,29,1
2021-04-24T03:34:37.693Z,Caribbean Netherlands,1553,15,0
2021-06-29T03:34:01.819Z,Antigua and Barbuda,1263,42,0
2021-06-29T03:34:28.029Z,St. Barth,1005,1,0
2021-06-29T03:34:10.357Z,Faeroe Islands,772,1,0
2021-04-23T23:34:50.046Z,Diamond Princess,712,13,0
2021-06-29T03:34:06.295Z,Cayman Islands,614,2,0
2021-06-29T03:34:30.282Z,Tanzania,509,21,7
2021-06-29T03:34:32.994Z,Wallis and Futuna,445,7,0
2021-06-29T03:34:24.936Z,Saint Kitts and Nevis,439,3,1
2021-06-29T03:34:05.130Z,Brunei,259,3,0
2021-06-21T11:55:05.096Z,British Virgin Islands,194,1,0
2021-06-29T03:34:09.013Z,Dominica,193,0,0
2021-06-29T03:34:12.675Z,Grenada,161,1,0
2021-06-29T03:34:21.779Z,New Caledonia,129,0,0
2021-06-29T03:34:01.573Z,Anguilla,109,0,0
2021-04-23T23:34:50.045Z,Falkland Islands,63,0,0
2021-06-29T03:34:18.031Z,Macao,54,0,0
2021-06-29T03:34:12.532Z,Greenland,50,0,1
2021-04-24T03:34:38.957Z,Vatican City,27,0,0
2021-04-23T23:34:36.487Z,Saint Pierre Miquelon,25,0,0
2021-06-29T03:34:27.170Z,Solomon Islands,20,0,0
2021-06-29T03:34:20.773Z,Montserrat,20,1,0
2021-06-29T03:34:33.136Z,Western Sahara,10,1,0
2021-04-24T03:34:34.536Z,MS Zaandam,9,2,0
2021-06-29T03:34:17.877Z,Channel Islands,9,2,0
2021-06-22T11:55:07.629Z,Vanuatu,4,1,0
2021-06-29T03:34:19.135Z,Marshall Islands,4,0,0
2021-06-22T11:55:02.048Z,Samoa,3,0,0
2021-04-24T03:34:37.692Z,Micronesia,1,0,0
